157.240.13.35 facebook.com
104.18.223.226 beta.character.ai
151.101.2.98 paulickreport.com
141.193.213.11 teachinginhighered.com
172.67.165.154 nilsfrahm.com
99.86.47.23 vectorstock.com
185.199.108.153 simpleicons.org
172.67.219.87 healthyamericans.org
54.68.182.72 thv11.com
89.106.200.1 mhlnews.com
213.209.30.138 xoomer.alice.it
45.153.58.2 statistik.d-u-v.org
37.59.136.183 icomos.org
213.48.60.82 plantsoftheworldonline.org
103.6.117.2 kaskus.co.id
128.30.2.143 projects.csail.mit.edu
143.95.40.169 waverlyfilms.com
162.255.119.159 scp-wiki.net
192.124.249.117 orangebowl.org
72.55.246.191 idexx.com
108.158.245.49 solutionsinfini.com
46.105.165.183 lr21.com.uy
199.34.228.54 slotmitosbet27.weebly.com
209.217.212.158 solaresearch.org
108.158.245.47 japaneseapp.com
34.213.106.51 knewton.com
54.161.105.65 urlesque.com
