domain,chord_IP,chord_time,reg_IP,reg_time,eq,code,url
cityofithaca.org,208.90.189.82,1109,208.90.189.82,308.902894,1,200,https://cityofithaca.org
millercenter.org,52.87.65.167,1086,52.87.65.167,316.346635,1,200,https://millercenter.org
translink.ca,13.71.170.128,1625,13.71.170.128,104.84741,1,200,https://translink.ca
thehomeedit.com,23.227.38.65,1228,23.227.38.65,121.6382,1,200,https://thehomeedit.com
9086852.fls.doubleclick.net,142.250.186.70,1099,142.250.70.38,68.419359,0,404,https://9086852.fls.doubleclick.net
cf.ac.uk,43.245.41.26,1121,43.245.41.26,319.142929,1,200,https://cf.ac.uk
trentrichardson.com,207.244.116.232,3387,207.244.116.232,317.144347,1,200,https://trentrichardson.com
cakecentral.com,104.21.38.205,1172,172.67.138.83,71.058284,0,200,https://cakecentral.com
nationalgallery.ie,34.241.191.143,1213,34.241.191.143,74.058919,1,200,https://nationalgallery.ie
spicenews.com.au,192.0.66.80,1083,192.0.66.80,31.626884,1,200,https://spicenews.com.au
nutella.com,54.76.9.40,1093,54.217.72.147,9.735468,0,200,https://nutella.com
wvu.edu,75.2.40.207,1083,75.2.40.207,216.097005,1,200,https://wvu.edu
context.reverso.net,51.254.91.152,1088,51.254.91.152,75.061286,1,403,https://context.reverso.net
notcoming.com,68.178.246.5,1224,68.178.246.5,179.677884,1,200,https://notcoming.com
storycollider.org,198.185.159.145,1183,198.185.159.144,191.522114,0,200,https://storycollider.org
herbsutter.com,192.0.78.24,2766,192.0.78.25,61.692513,0,200,https://herbsutter.com
barbadoshappyhours.com,198.54.114.202,1107,198.54.114.202,77.918613,1,200,https://barbadoshappyhours.com
www2.mmu.ac.uk,54.216.214.82,1103,34.253.116.209,253.837674,0,403,https://www2.mmu.ac.uk
juniperresearch.com,192.124.249.169,419,192.124.249.169,219.908026,1,403,https://juniperresearch.com
delphix.com,147.75.40.150,1112,147.75.40.150,5.230842,1,200,https://delphix.com
coasttocoastam.com,151.101.130.193,1099,151.101.194.193,101.640403,0,200,https://coasttocoastam.com
navy.com,104.26.2.105_104.26.3.105_172.67.68.79_,1095,172.67.68.79,9.288014,1,403,https://navy.com
videogameschronicle.com,104.26.12.209_104.26.13.209_172.67.71.82_,1196,104.26.12.209,98.727133,1,200,https://videogameschronicle.com
jobs.net,54.204.159.80_52.201.45.50_,4013,18.213.235.180,60.680599,0,403,https://jobs.net
poweringpastcoal.org,141.193.213.11,1095,141.193.213.11,207.885279,1,403,https://poweringpastcoal.org
davidrevoy.com,213.186.33.87,1128,213.186.33.87,138.958977,1,200,https://davidrevoy.com
epguides.com,216.239.136.165,3345,216.239.136.165,101.296818,1,200,https://epguides.com
glossgenius.com,13.32.99.54,1231,18.172.64.121,5.483437,0,200,https://glossgenius.com
surveymonkey.de,108.138.26.89,1104,18.172.64.82,64.41724,0,200,https://surveymonkey.de
blogcatalog.com,15.197.148.33_3.33.130.190_,2709,3.33.130.190,159.981747,1,404,https://blogcatalog.com
owl.man.ac.uk,130.88.101.59,1136,130.88.101.59,573.284758,1,200,https://owl.man.ac.uk
hmbana.org,52.5.5.85,1093,52.5.5.85,445.113455,1,200,https://hmbana.org
thewest.com.au,52.222.236.28_52.222.236.114_52.222.236.52_,1083,108.159.80.111,33.524158,0,200,https://thewest.com.au
bosch-presse.de,139.15.251.212,1198,139.15.251.212,96.47919,1,200,https://bosch-presse.de
ednc.org,141.193.213.20,1613,141.193.213.20,129.398716,1,403,https://ednc.org
threads.net,157.240.12.52_157.240.222.63_,3352,163.70.143.63,98.080579,0,200,https://threads.net
